Description,In / Out of Target Quadrant,In / Out of Top startups by growth Dynamic set,Industry,Name,Year Founded,2015 Expenses,2015 Growth %,2015 Revenue
"Builds projects in the tenant improvement, medical, institutional, retail/banking, industrial and technology fields.",In,Out,Construction,Flaskssunny,2012,214469.61,522.00%,8589861.97
"Provides SEO services to its clients as well as providing step-by-step methodologies for visitors, including free and subscription interactive tools on a broad range of Internet marketing topics.",Out,Out,Advertising & Marketing,Canuvula,2012,4681764.26,484.00%,12663540.75
"An SAP consulting company that integrates technology, process and people to support public service entities such as educational institutions and non-profit organizations.",In,Out,IT Services,Glazetwang,2014,1188168.99,270.00%,9864586.26
Provides aerospace and engineering services to Department of Defense agencies.,In,In,Government Services,Blendplacid,2014,3680005.91,560.00%,10581244.85
Sells a comprehensive selection of auto parts online to the import automotive community.,In,Out,Consumer Products & Services,Busylivid,2014,3373541.97,476.00%,7253810.88
"A print services provider that offers business cards, letterhead, statement processing and a market asset management system that streamlines budgets and order processing for marketing departments.",Out,Out,Business Products & Services,Mesontrekking,2011,5334742.29,527.00%,7538439.07
Provides IT staffing and consulting services to companies ranging from Fortune 500 to emerging status.,In,Out,IT Services,Infectedduck,2000,4118312.1,524.00%,10417061.67
"Provides personal, business and commercial banking services to its clients.",Out,In,Financial Services,Allowuntidy,2014,2309345.32,629.00%,4528392.57
"Designs and manufactures bulk cause-related products that are sold at low wholesale prices and intended to be used for fundraising or awareness campaigns. Represented causes include autism, anti-bullying and animal adoption.",In,Out,Retail,Moleculecircle,2013,1026547.89,397.00%,11094660.64
"Develops and supports practice management software for dental offices. Its software product handles scheduling, insurance billing, patient billing, electronic health record, charting, imaging and electronic claims management.",In,In,Software,Fadalert,2014,4057418.12,560.00%,11851513.49
"An email service for small businesses to create, share and track email newsletters and promotions.",In,Out,Software,Putmovement,2013,984696.28,369.00%,11002468.17
"Offers customer relationship management services and automated marketing tools for more than 10,000 mortgage originators across the United States.",Out,Out,Financial Services,Portlyroomy,2010,4887546.51,520.00%,7707034.54
A regional provider of snow and ice management services that uses technology and new equipment to ensure client site safety during winter weather conditions.,Out,Out,Business Products & Services,Clerkhusky,2013,4940211.26,327.00%,4477734.44
Provides truck drivers and transportation-related staffing consulting services for clients and candidates.,Out,Out,Logistics & Transportation,Snobcarrot,2012,6555657.33,425.00%,12164115.6
Sells and recycles late model autos and parts.,Out,Out,Consumer Products & Services,Restrainthomerun,2000,5647178.12,443.00%,8522560.61
"Provides experienced professionals for project-based consulting, interim leadership and contract staffing engagements in a variety of industries.",Out,Out,Advertising & Marketing,Poxhewn,2010,6588341.81,548.00%,9884269.8
Transports crude oil and provides logistics for monitoring tanker trucks. Gazelle Transportation monitors deliveries in real time to keep customers fully informed and to ensure that product arrives on time.,In,Out,Logistics & Transportation,Nescafeshameless,2013,2453377.09,428.00%,16100761.52
Provides clients with business analytics services to assist them in implementing the business intelligence and financial management systems of software providers.,In,Out,Business Products & Services,Gemsubmit,2013,4357655.71,293.00%,9852787.59
"Provides architectural railings for commercial and residential construction projects. Types of railings include handrails, modular systems and deck railings.",In,Out,Construction,Rustyentertain,2012,1680822.6,500.00%,9646814.72
"Offers mortgage banking services such as originations, loan servicing and correspondent lending from offices in more than 30 states.",In,Out,Financial Services,Novelfollicle,2009,4379096.92,375.00%,9028550.05
"Formulates and manufactures fast-set, spray applied 100% solids coatings, foams and elastomers.",Out,Out,Manufacturing,Miaplacidusneuroma,2006,8251925.13,325.00%,6439390.58
"Provides business automation for the financial services and brokerage industry. Its automation platform is deployed in mission critical applications at large brokerage, banking and insurance firms.",Out,Out,Financial Services,Yawningcricket,2012,5133189.82,301.00%,12247617.92
"An inbound call center that offers virtual telephone reception and customer service to clients worldwide, 24 hours a day.",Out,Out,Telecommunications,Dinggleeful,2013,5021740.98,155.00%,5925070.33
"A general contractor with in-house architects, engineers, designers, project managers, and job superintendents.",In,Out,Construction,Friendlego,2012,4279254.85,462.00%,9176783.37
"Offers bioanalytical lab services that support drug discovery, pre-clinical and clinical development and manufacturing for pharmaceutical companies.",Out,Out,Health,Lambdafortunate,2010,5259295.08,280.00%,8475309.67
Provides security and surveillance services and systems to both government agencies and private-sector clients using the latest technology and cost controls.,In,Out,Security,Skyracket,2013,1666758.12,438.00%,12697080.96
Specializes in staff augmentation and recruiting services within the healthcare industry.,Out,Out,Human Resources,Perfumedkink,2010,4692120.18,353.00%,7156227.43
"Provides cloud virtualization, cloud training and Web, mobile and application development services to Cisco, Verizon and other Fortune 500 corporations.",Out,Out,IT Services,Dashedcompounds,2014,7879017.69,239.00%,7791846.33
"A media company and community for digital media, marketing and advertising professionals, using its website as a content hub and offering email newsletters and multi-day networking events for marketers.",In,Out,Media,Porkpuddings,2007,3432121.51,495.00%,8112482.25
Provides POS software to salons and spas throughout North America.,In,Out,Software,Follyslushy,2012,4481516.53,275.00%,10114085.91
"Provides prompt, professional walk-in medical treatment for non-life and non-limb threatening illnesses and injuries.",In,Out,Health,Hayloftmizuna,2013,4137907.18,458.00%,15312301.78
"Helps large enterprises design, build and operate IT infrastructure. Offers remote support to the public sector, financial services and energy industries.",Out,Out,IT Services,Thalliumwould,2014,8866642.38,396.00%,5708327.22
Provides outsourced accounting and financial services to businesses and business owners.,Out,Out,Financial Services,Regexsay,2004,4995466.57,522.00%,7642133.15
"Specializes in the placement of accounting, administrative, construction and renewable energy professionals into direct-hire, consulting and contract positions.",In,Out,Human Resources,Resolvingadaptation,2013,4109589.89,253.00%,8457045.4
Provides IT and engineering staffing services.,In,Out,IT Services,Hoeforeach,2010,1629028.98,432.00%,8000248.05
"Delivers information technology services such as security, control system engineering and strategic consulting to the Department of Defense and other government entities.",In,Out,Government Services,Dessertsanchovy,2012,3744276.62,462.00%,11059460.93
